Orig,Translation
"Slide chunks of the world to solve puzzles and help others. Control an ever-growing set of tiles and mechanics. Explore nine unique areas, unravel the mysteries of the universe, and reconnect the world -- one slider at a time.",从一小片“地图滑块”开始，解决难题，解锁关卡与道具，并完成各种任务。一块一块解锁滑块大陆的9个区域，并将他们排列修复——最终解决大陆的究极谜题！
"Slider is an award-winning puzzle adventure game where the world faces cataclysm, and you must use The Artifact to solve puzzles, rearrange maps, help reconnect humanity, and, most importantly... find your cat.",《滑块世界》是一款屡获殊荣的谜题冒险游戏。世界遭遇灾难，而只有你能够使用上古遗物来解决谜题，将大陆排列如初，重新连接起各地的居民们，并完成最重要的任务：找回你“走”丢的猫猫！
Free to play! 10+ hours of content.,10+小时的解谜内容供您免费游玩！
Solve tricky puzzles with a variety of mechanics.,运用多种地图机制解决谜题。
"Explore 9 unique regions, each with their own twists.",从第一片地图滑块开始，不断开拓道路并解锁9个独特的关卡区域。
Cats!!!,猫！！！
Slide Tiles to Solve Puzzles,重组地图并解决各种难题。
"Use The Artifact to slide pieces of the world to your advantage, unlocking treasures and completing each area's grid. Watch as your collection of objects expands as you solve increasingly complex puzzles.",使用上古遗物将世界重新排列，发现各种宝物并修复大陆的9个部分。解决逐渐复杂的难题并收集隐藏宝藏！
Explore 9 Unique Areas,探索9片独特的区域。
"The world is full of mysteries, with each new area presenting a unique twist on the 8-puzzle. Discover rotating environments, tactical combat, 3D grids, time travel, and more!",这个世界充满奥秘。每个关卡都在“八数字推盘”的基础上加入了多种独特机制：旋转地块、棋盘战斗、第三维度、甚至是时空旅行！
Help an Odd Cast of Characters,帮助各种稀奇古怪的角色。
"After the world has been shattered, it's up to you to reconnect everyone. Help those in need piece their lives back together.",只有你能够把破碎的大陆重新连接起来，让居民们的生活重返正轨！
Master Unique Mechanics,学习掌握多种机制
"Solve puzzles of increasing complexity as your toolbox grows and mechanics build upon each other. From anchors to minecarts to buoys to lights, take control of the world around you.",在探索的过程中解锁各种工具，并解决逐渐复杂的谜题。从船锚到浮标到灯泡——用各种工具开拓并操纵整片大陆！
,
,
,
One Piece at a Time...,一步一脚印
Pick up your first Slider tile,捡起第一片滑块
Complete Village,通关[小镇]
Reassemble Stonybrook VIllage,修复石头镇
The First Breadge,第一个小面堡
Find the first Breadge of many,找到多个小面堡之中的一个
Big Moss Big Boss,真菌真君
Show that big patch of... moss? fungus? what you're made of,“征服”一大片感光真菌
Complete Caves,通关[洞穴]
Reassemble the Chloro Caves,修复水帘洞
Anchor Down,定海神锚
Collect the Anchor,获取船锚
Complete Ocean,通关[海洋]
Reassemble the Shifting Seas,修复翻转海
Sneakerhead,鞋子专家
Collect the Boots,收集所有靴子
Big Breadge,大面堡
If you collect 3 Breadge you can make a big Breadge,3个小面堡可以合成1个大面堡
Complete Jungle,通关[雨林]
Reassemble Canopy Town?,修复树冠园区
Scribe,取得真经
Collect the Scroll,获取魔法卷轴
Complete Desert,通关[沙漠]
Reassemble The Impact Zone,修复撞击区
Complete Jungle,通关[雨林]
Reassemble Canopy Town,修复树冠园区
Complete Factory,通关[工厂]
Reassemble the Rocket Factory Center,修复火箭工厂
Complete Military,通关[军事]
Reassemble The Flats,修复平原
Complete Mountain,通关[山脉]
Reassemble the Crystal Mines,修复水晶矿洞
Birdless Party,鸦雀无声
Eliminate the Desert Bird before the big surprise party,在惊喜派对开始之前”消灭”沙漠小鸟
Complete MagiTech,通关[魔技]
Reassemble the MRI,修复MRI
Cover to Cover,玲琅满目
Create every Shape in the Canopy Town recipe book,制造树冠园区配方列表中的每一种形状
Cats in Space,宇宙猫
Save your cat,与猫猫重逢
Rat Race,过街老鼠
Chase the Rat across every tile in the Chloro Caves,在追逐小耗子的过程中走边整个水帘洞
Savior,高抬贵手
Spare Chad Sr.,放走初代大碴
The Legendary Burger,传奇汉堡
They say only the most legendary of explorers can collect all 9 Breadge,只有真正的传奇探险家才能集齐9个小面堡
Jewel Thief,宝石大盗
Pick up the Caves Gem before getting the first Slider in the MRI,在解锁MRI第一片滑块前获得洞穴宝石
Supreme Commander,用兵如神
Defeat the aliens in The Flats with at least one unused supply of troops,击退外星人并至少闲置一队士兵
Village Sub-3,易如反掌
Reassemble Stonybrook Village in under 3 minutes,3分钟之内修复石头镇
Anchor Up,乾坤二掷
Complete the Shifting Seas while only dropping the anchor 2 times,通关翻转海并只投下船锚2次
Back on Track,顺其自然
Complete the Crystal Mines while only picking up the minecart once,通关水晶矿洞并只捡起矿车1次
Speedrun,速通达人
Rescue your cat in under 2 hours,在2小时之内与猫猫重逢
Beyond Time and Space,超越时空
Rescue your cat in under 1 hour,在1小时之内与猫猫重逢
