"Slider.v1.0.20c","Unity.v2022.3.62f3","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","","DisplayName","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","","Use as the display name when the locale is being selected from the main menu. Note the folder name must be ASCII or else XBox will be very angry.","",
"Path","Orig","Translation","Metadata",
"Magitech Hints@0","Hold <AltViewHold> to view the past","按<AltViewHold>回望过去","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:0","Hey what are you- wait, you're the person with all the magical artifacts!","什么东西-等等,你是那个带着[魔法宝物]的人!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:1","Perfect! You have that <#2e44f0>Anchor</color>, right? I've been writing my thesis on how it affects time and space!","你不会正好带着那个<#2e44f0>船锚</color>吧?我正在研究它和[时间与空间]的联系!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:0","I theorize that with the <#2e44f0>Anchor</color> artifact, we might be capable of separating timelines.","我的理论是:被<#2e44f0>船锚</color>定住的区域可以在[时间线迁移]中保持静止,而我们可以用这个性质来分离出[另一个时间线]来.","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:1","Or more specifically, creating a <#c060c0><wavy>desync</wavy></color>!","更确切地说,它可以引起<#c060c0><wavy>时间分裂</wavy></color>.","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:0","Fascinating! <#c060c0><wavy>Desyncs</wavy></color>! I need to start writing my papers write away.","<#c060c0><wavy>时间分裂</wavy></color>!--这是个好名字,我要赶紧记在论文草稿里!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:1","There's so much possible with these.","这种现象一定会很有用.","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@3:0","Is this what it feels like?! A <#c060c0><wavy>desync</wavy></color>!","我能感觉到<#c060c0><wavy>时间分裂</wavy></color>!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@4:0","These <#c060c0><wavy>desyncs</wavy></color> are so fascinating, they break all rules we know.","这些<#c060c0><wavy>时间分裂</wavy></color>太奇妙了,它们打破了已知的所有物理法则.","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@5:0","I'm sure to win an award for this Desync paper!","我的[时间分裂]论文一定能上顶刊!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@ArcheologistTalkedAfterReflectionPool:0","We've got all the gems? Let's bring them back!","集齐全部的宝石了?是时候把它们带回去了.","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@ArrivedInFactoryPresent:0","You know trespassing is a crime right? Right? Please say something.","你知道我们不该穿过这里的吧...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@ArrivedInMagiTechPresent:0","They doing some wild stuff here dude. You know, science.","他们在搞一些很[疯狂]的事情.你懂的,科学!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@CameFromJungle:0","It's been so long since I've seen Barron... it'd probably be too awkward anyways.","我很久没跟大亨打过招呼了-也许会很尴尬,算了吧...","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@CameFromMilitary:0","War? Yeah, I'm a pro at RPS Tactics what about it?","打仗?我在[穿越RPS洲精英]里可是大师段位!这对我小菜一碟!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@EnteredDesertTemple:0","This place is ripe with artifacts!","这里的遗物琳琅满目!","",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad/ChadChirpDataProvider@EnteredDesertTempleSnail:0","Groovy!","哇塞!","",
